in Hz,Spectrum in dBm
5.3710938E+01,-6.31869E+01
5.4016113E+01,-6.00669E+01
5.4321289E+01,-5.91069E+01
5.4626465E+01,-5.84269E+01
5.4931641E+01,-5.75469E+01
5.5236816E+01,-5.86469E+01
5.5541992E+01,-6.09269E+01
5.5847168E+01,-6.14669E+01
5.6152344E+01,-6.19869E+01
5.6457520E+01,-6.28469E+01
5.6762695E+01,-6.57869E+01
5.7067871E+01,-6.55069E+01
5.7373047E+01,-6.00869E+01
5.7678223E+01,-5.64669E+01
5.7983398E+01,-5.58469E+01
5.8288574E+01,-5.80869E+01
5.8593750E+01,-6.14269E+01
5.8898926E+01,-5.97669E+01
5.9204102E+01,-5.73869E+01
5.9509277E+01,-5.83069E+01
5.9814453E+01,-6.05669E+01
6.0119629E+01,-6.91469E+01
6.0424805E+01,-7.14269E+01
6.0729980E+01,-6.83469E+01
6.1035156E+01,-6.78269E+01
6.1340332E+01,-7.09469E+01
6.1645508E+01,-6.93269E+01
6.1950684E+01,-6.75069E+01
6.2255859E+01,-6.26269E+01
6.2561035E+01,-5.76069E+01
6.2866211E+01,-5.62269E+01
6.3171387E+01,-5.67469E+01
6.3476563E+01,-5.80869E+01
6.3781738E+01,-6.59669E+01
6.4086914E+01,-6.81269E+01
6.4392090E+01,-6.19469E+01
6.4697266E+01,-6.20669E+01
6.5002441E+01,-6.47269E+01
6.5307617E+01,-6.50669E+01
6.5612793E+01,-6.81469E+01
6.5917969E+01,-6.75269E+01
6.6223145E+01,-6.03069E+01
6.6528320E+01,-5.58069E+01
6.6833496E+01,-5.44269E+01
6.7138672E+01,-5.56669E+01
6.7443848E+01,-5.84669E+01
6.7749023E+01,-6.11069E+01
6.8054199E+01,-6.13469E+01
6.8359375E+01,-6.16669E+01
6.8664551E+01,-6.20469E+01
6.8969727E+01,-6.19069E+01
6.9274902E+01,-6.07469E+01
6.9580078E+01,-5.95869E+01
6.9885254E+01,-5.67469E+01
7.0190430E+01,-5.49869E+01
7.0495605E+01,-5.48469E+01
7.0800781E+01,-5.53669E+01
7.1105957E+01,-5.63069E+01
7.1411133E+01,-5.84469E+01
7.1716309E+01,-6.29869E+01
7.2021484E+01,-6.15869E+01
7.2326660E+01,-6.18869E+01
7.2631836E+01,-6.61869E+01
7.2937012E+01,-7.44869E+01
7.3242188E+01,-5.91869E+01
7.3547363E+01,-5.60069E+01
7.3852539E+01,-5.67469E+01
7.4157715E+01,-5.85269E+01
7.4462891E+01,-5.89669E+01
7.4768066E+01,-5.72869E+01
7.5073242E+01,-5.67669E+01
7.5378418E+01,-5.90069E+01
7.5683594E+01,-6.60669E+01
7.5988770E+01,-7.36269E+01
7.6293945E+01,-6.58869E+01
7.6599121E+01,-6.54269E+01
7.6904297E+01,-6.53269E+01
7.7209473E+01,-6.65669E+01
7.7514648E+01,-6.53269E+01
7.7819824E+01,-6.42269E+01
7.8125000E+01,-6.18669E+01
7.8430176E+01,-5.92069E+01
7.8735352E+01,-5.66869E+01
7.9040527E+01,-5.49869E+01
7.9345703E+01,-5.52469E+01
7.9650879E+01,-5.70869E+01
7.9956055E+01,-5.96069E+01
8.0261230E+01,-6.67869E+01
8.0566406E+01,-7.07869E+01
8.0871582E+01,-6.21469E+01
8.1176758E+01,-5.92069E+01
8.1481934E+01,-5.88469E+01
8.1787109E+01,-5.93669E+01
8.2092285E+01,-5.75469E+01
8.2397461E+01,-5.79669E+01
8.2702637E+01,-6.23069E+01
8.3007813E+01,-6.63869E+01
8.3312988E+01,-7.03469E+01
8.3618164E+01,-7.38869E+01
8.3923340E+01,-6.50869E+01
8.4228516E+01,-6.35269E+01
8.4533691E+01,-6.39469E+01
8.4838867E+01,-6.26269E+01
8.5144043E+01,-6.22069E+01
8.5449219E+01,-6.01469E+01
8.5754395E+01,-5.83869E+01
8.6059570E+01,-5.65069E+01
8.6364746E+01,-5.48069E+01
8.6669922E+01,-5.46869E+01
8.6975098E+01,-5.48469E+01
8.7280273E+01,-5.50469E+01
8.7585449E+01,-5.73869E+01
8.7890625E+01,-6.17469E+01
8.8195801E+01,-6.74669E+01
8.8500977E+01,-7.46069E+01
8.8806152E+01,-6.92269E+01
8.9111328E+01,-6.36669E+01
8.9416504E+01,-6.21869E+01
8.9721680E+01,-6.14869E+01
9.0026855E+01,-6.16669E+01
9.0332031E+01,-6.19469E+01
9.0637207E+01,-6.12669E+01
9.0942383E+01,-6.10469E+01
9.1247559E+01,-6.05469E+01
9.1552734E+01,-6.08869E+01
9.1857910E+01,-6.30069E+01
9.2163086E+01,-6.32069E+01
9.2468262E+01,-6.21069E+01
9.2773438E+01,-6.15669E+01
9.3078613E+01,-6.22869E+01
9.3383789E+01,-6.36669E+01
9.3688965E+01,-6.32869E+01
9.3994141E+01,-6.35869E+01
9.4299316E+01,-6.52869E+01
9.4604492E+01,-6.52069E+01
9.4909668E+01,-6.07669E+01
9.5214844E+01,-5.72469E+01
9.5520020E+01,-5.63869E+01
9.5825195E+01,-5.75469E+01
9.6130371E+01,-5.83869E+01
9.6435547E+01,-5.85269E+01
9.6740723E+01,-5.93069E+01
9.7045898E+01,-6.16869E+01
9.7351074E+01,-6.66669E+01
9.7656250E+01,-6.41669E+01
9.7961426E+01,-6.31469E+01
9.8266602E+01,-6.59269E+01
9.8571777E+01,-6.72269E+01
9.8876953E+01,-6.30469E+01
9.9182129E+01,-6.20669E+01
9.9487305E+01,-6.38869E+01
9.9792480E+01,-6.86469E+01
1.0009766E+02,-7.14069E+01
1.0040283E+02,-8.30669E+01
1.0070801E+02,-8.07269E+01
1.0101318E+02,-7.88469E+01
1.0131836E+02,-6.91869E+01
1.0162354E+02,-6.18669E+01
1.0192871E+02,-5.82069E+01
1.0223389E+02,-5.84469E+01
1.0253906E+02,-6.00869E+01
1.0284424E+02,-6.18269E+01
1.0314941E+02,-6.54469E+01
1.0345459E+02,-7.41269E+01
1.0375977E+02,-6.97069E+01
1.0406494E+02,-6.35269E+01
1.0437012E+02,-5.99869E+01
1.0467529E+02,-5.93069E+01
1.0498047E+02,-6.11669E+01
1.0528564E+02,-6.22869E+01
1.0559082E+02,-6.00469E+01
1.0589600E+02,-5.72869E+01
1.0620117E+02,-5.63869E+01
1.0650635E+02,-5.68669E+01
1.0681152E+02,-5.79469E+01
1.0711670E+02,-5.77869E+01
1.0742188E+02,-5.81469E+01
1.0772705E+02,-6.19269E+01
1.0803223E+02,-6.89669E+01
1.0833740E+02,-6.28869E+01
1.0864258E+02,-5.99469E+01
1.0894775E+02,-5.80069E+01
1.0925293E+02,-5.73269E+01
1.0955811E+02,-5.89869E+01
1.0986328E+02,-6.14669E+01
1.1016846E+02,-6.20869E+01
1.1047363E+02,-6.04269E+01
1.1077881E+02,-6.00269E+01
1.1108398E+02,-6.07269E+01
1.1138916E+02,-5.85469E+01
1.1169434E+02,-5.62869E+01
1.1199951E+02,-5.74669E+01
1.1230469E+02,-6.12469E+01
1.1260986E+02,-6.14669E+01
1.1291504E+02,-6.38469E+01
1.1322021E+02,-6.66069E+01
1.1352539E+02,-7.49069E+01
1.1383057E+02,-7.34669E+01
1.1413574E+02,-6.57469E+01
1.1444092E+02,-6.44669E+01
1.1474609E+02,-6.95469E+01
1.1505127E+02,-7.75269E+01
1.1535645E+02,-6.77069E+01
1.1566162E+02,-6.27669E+01
1.1596680E+02,-6.25069E+01
1.1627197E+02,-6.41269E+01
1.1657715E+02,-6.47269E+01
1.1688232E+02,-5.92669E+01
1.1718750E+02,-5.40269E+01
1.1749268E+02,-5.19469E+01
1.1779785E+02,-5.28069E+01
1.1810303E+02,-5.44869E+01
1.1840820E+02,-5.74869E+01
1.1871338E+02,-6.49869E+01
1.1901855E+02,-6.89069E+01
1.1932373E+02,-6.43869E+01
1.1962891E+02,-6.09869E+01
1.1993408E+02,-6.32069E+01
1.2023926E+02,-7.88469E+01
1.2054443E+02,-6.84469E+01
1.2084961E+02,-6.08069E+01
1.2115479E+02,-5.90469E+01
1.2145996E+02,-6.51869E+01
1.2176514E+02,-6.81869E+01
1.2207031E+02,-6.39469E+01
1.2237549E+02,-6.07669E+01
1.2268066E+02,-6.30669E+01
1.2298584E+02,-7.39469E+01
1.2329102E+02,-7.14269E+01
1.2359619E+02,-6.49869E+01
1.2390137E+02,-6.13069E+01
1.2420654E+02,-5.92069E+01
1.2451172E+02,-6.03669E+01
1.2481689E+02,-6.05069E+01
1.2512207E+02,-5.97669E+01
1.2542725E+02,-6.09069E+01
1.2573242E+02,-6.28269E+01
1.2603760E+02,-6.33869E+01
1.2634277E+02,-6.22669E+01
1.2664795E+02,-5.99669E+01
1.2695313E+02,-5.75469E+01
1.2725830E+02,-5.67269E+01
1.2756348E+02,-5.57469E+01
1.2786865E+02,-5.55269E+01
1.2817383E+02,-5.80469E+01
1.2847900E+02,-6.10069E+01
1.2878418E+02,-6.26669E+01
1.2908936E+02,-6.50269E+01
1.2939453E+02,-6.52669E+01
1.2969971E+02,-6.16869E+01
1.3000488E+02,-6.07869E+01
1.3031006E+02,-6.18869E+01
1.3061523E+02,-6.87069E+01
1.3092041E+02,-6.98469E+01
1.3122559E+02,-6.36669E+01
1.3153076E+02,-5.89869E+01
1.3183594E+02,-5.87069E+01
1.3214111E+02,-5.96669E+01
1.3244629E+02,-5.99269E+01
1.3275146E+02,-6.08069E+01
1.3305664E+02,-5.91469E+01
1.3336182E+02,-5.86269E+01
1.3366699E+02,-6.14069E+01
1.3397217E+02,-6.25069E+01
1.3427734E+02,-6.30069E+01
1.3458252E+02,-6.04069E+01
1.3488770E+02,-5.86869E+01
1.3519287E+02,-5.78669E+01
1.3549805E+02,-5.80669E+01
1.3580322E+02,-6.14269E+01
1.3610840E+02,-6.92669E+01
1.3641357E+02,-7.02669E+01
1.3671875E+02,-6.42069E+01
1.3702393E+02,-6.44869E+01
1.3732910E+02,-7.00469E+01
1.3763428E+02,-6.24469E+01
1.3793945E+02,-5.81669E+01
1.3824463E+02,-5.72869E+01
1.3854980E+02,-5.58469E+01
1.3885498E+02,-5.51869E+01
1.3916016E+02,-5.40669E+01
1.3946533E+02,-5.40269E+01
1.3977051E+02,-5.63069E+01
1.4007568E+02,-5.99669E+01
1.4038086E+02,-6.61069E+01
1.4068604E+02,-6.96469E+01
1.4099121E+02,-5.94669E+01
1.4129639E+02,-5.63469E+01
1.4160156E+02,-5.67669E+01
1.4190674E+02,-5.91069E+01
1.4221191E+02,-6.27069E+01
1.4251709E+02,-6.58669E+01
1.4282227E+02,-6.35069E+01
1.4312744E+02,-6.37269E+01
1.4343262E+02,-6.28469E+01
1.4373779E+02,-6.01269E+01
1.4404297E+02,-5.85069E+01
1.4434814E+02,-5.93269E+01
1.4465332E+02,-6.04469E+01
1.4495850E+02,-6.05269E+01
1.4526367E+02,-6.38269E+01
1.4556885E+02,-8.30069E+01
1.4587402E+02,-6.72869E+01
1.4617920E+02,-6.60469E+01
1.4648438E+02,-6.56669E+01
1.4678955E+02,-6.59069E+01
1.4709473E+02,-6.40269E+01
1.4739990E+02,-6.27669E+01
1.4770508E+02,-6.45669E+01
1.4801025E+02,-6.81669E+01
1.4831543E+02,-6.87269E+01
1.4862061E+02,-7.06869E+01
1.4892578E+02,-9.03269E+01
1.4923096E+02,-6.63669E+01
1.4953613E+02,-6.19669E+01
1.4984131E+02,-6.18469E+01
1.5014648E+02,-6.19269E+01
1.5045166E+02,-6.76669E+01
1.5075684E+02,-6.63469E+01
1.5106201E+02,-6.02469E+01
1.5136719E+02,-5.80869E+01
1.5167236E+02,-5.57069E+01
1.5197754E+02,-5.49869E+01
1.5228271E+02,-5.61669E+01
1.5258789E+02,-5.76469E+01
1.5289307E+02,-6.01069E+01
1.5319824E+02,-6.29869E+01
1.5350342E+02,-6.39869E+01
1.5380859E+02,-6.24669E+01
1.5411377E+02,-6.05869E+01
1.5441895E+02,-6.07069E+01
1.5472412E+02,-6.11869E+01
1.5502930E+02,-6.23869E+01
1.5533447E+02,-6.40269E+01
1.5563965E+02,-6.40669E+01
1.5594482E+02,-6.12269E+01
1.5625000E+02,-5.94469E+01
1.5655518E+02,-6.04469E+01
1.5686035E+02,-6.13469E+01
1.5716553E+02,-6.01469E+01
1.5747070E+02,-5.91669E+01
1.5777588E+02,-5.67069E+01
1.5808105E+02,-5.51069E+01
1.5838623E+02,-5.39269E+01
1.5869141E+02,-5.30669E+01
1.5899658E+02,-5.32469E+01
1.5930176E+02,-5.40669E+01
1.5960693E+02,-5.58869E+01
1.5991211E+02,-5.89269E+01
1.6021729E+02,-5.90069E+01
1.6052246E+02,-5.64269E+01
1.6082764E+02,-5.59869E+01
1.6113281E+02,-5.62269E+01
1.6143799E+02,-5.58869E+01
1.6174316E+02,-5.71269E+01
1.6204834E+02,-6.01069E+01
1.6235352E+02,-6.52069E+01
1.6265869E+02,-6.73069E+01
1.6296387E+02,-6.33869E+01
1.6326904E+02,-5.90469E+01
1.6357422E+02,-5.76469E+01
1.6387939E+02,-5.72269E+01
1.6418457E+02,-5.78069E+01
1.6448975E+02,-5.97069E+01
1.6479492E+02,-6.25669E+01
1.6510010E+02,-6.99269E+01
1.6540527E+02,-7.41669E+01
1.6571045E+02,-6.74269E+01
1.6601563E+02,-6.17469E+01
1.6632080E+02,-6.02669E+01
1.6662598E+02,-6.21069E+01
1.6693115E+02,-6.37269E+01
1.6723633E+02,-6.55069E+01
