in s,C1 in V
-1.1967176E-03,6.33695E+00
-1.1966992E-03,6.33695E+00
-1.1966808E-03,6.31742E+00
-1.1966624E-03,6.27836E+00
-1.1966440E-03,6.29789E+00
-1.1966256E-03,6.29789E+00
-1.1966072E-03,6.33695E+00
-1.1965888E-03,6.31742E+00
-1.1965704E-03,6.29789E+00
-1.1965520E-03,6.31742E+00
-1.1965336E-03,6.33695E+00
-1.1965152E-03,6.31742E+00
-1.1964968E-03,6.29789E+00
-1.1964784E-03,6.25883E+00
-1.1964600E-03,6.29789E+00
-1.1964416E-03,6.27836E+00
-1.1964232E-03,6.33695E+00
-1.1964048E-03,6.31742E+00
-1.1963864E-03,6.35648E+00
-1.1963680E-03,6.33695E+00
-1.1963496E-03,6.31742E+00
-1.1963312E-03,6.33695E+00
-1.1963128E-03,6.31742E+00
-1.1962944E-03,6.25883E+00
-1.1962760E-03,6.33695E+00
-1.1962576E-03,6.29789E+00
-1.1962392E-03,6.33695E+00
-1.1962208E-03,6.31742E+00
-1.1962024E-03,6.29789E+00
-1.1961840E-03,6.33695E+00
-1.1961656E-03,6.29789E+00
-1.1961472E-03,6.33695E+00
-1.1961288E-03,6.27836E+00
-1.1961104E-03,6.27836E+00
-1.1960920E-03,6.29789E+00
-1.1960736E-03,6.33695E+00
-1.1960552E-03,6.29789E+00
-1.1960368E-03,6.33695E+00
-1.1960184E-03,6.29789E+00
-1.1960000E-03,6.27836E+00
-1.1959816E-03,6.31742E+00
-1.1959632E-03,6.33695E+00
-1.1959448E-03,6.35648E+00
-1.1959264E-03,6.27836E+00
-1.1959080E-03,6.27836E+00
-1.1958896E-03,6.31742E+00
-1.1958712E-03,6.29789E+00
-1.1958528E-03,6.29789E+00
-1.1958344E-03,6.37602E+00
-1.1958160E-03,6.31742E+00
-1.1957976E-03,6.35648E+00
-1.1957792E-03,6.33695E+00
-1.1957608E-03,6.31742E+00
-1.1957424E-03,6.35648E+00
-1.1957240E-03,6.29789E+00
-1.1957056E-03,6.27836E+00
-1.1956872E-03,6.31742E+00
-1.1956688E-03,6.33695E+00
-1.1956504E-03,6.29789E+00
-1.1956320E-03,6.25883E+00
-1.1956136E-03,6.27836E+00
-1.1955952E-03,6.31742E+00
-1.1955768E-03,6.25883E+00
-1.1955584E-03,6.33695E+00
-1.1955400E-03,6.27836E+00
-1.1955216E-03,6.31742E+00
-1.1955032E-03,6.31742E+00
-1.1954848E-03,6.37602E+00
-1.1954664E-03,6.31742E+00
-1.1954480E-03,6.31742E+00
-1.1954296E-03,6.27836E+00
-1.1954112E-03,6.29789E+00
-1.1953928E-03,6.33695E+00
-1.1953744E-03,6.27836E+00
-1.1953560E-03,6.27836E+00
-1.1953376E-03,6.33695E+00
-1.1953192E-03,6.31742E+00
-1.1953008E-03,6.33695E+00
-1.1952824E-03,6.29789E+00
-1.1952640E-03,6.33695E+00
-1.1952456E-03,6.31742E+00
-1.1952272E-03,6.35648E+00
-1.1952088E-03,6.33695E+00
-1.1951904E-03,6.31742E+00
-1.1951720E-03,6.31742E+00
-1.1951536E-03,6.33695E+00
-1.1951352E-03,6.27836E+00
-1.1951168E-03,6.33695E+00
-1.1950984E-03,6.33695E+00
-1.1950800E-03,6.35648E+00
-1.1950616E-03,6.31742E+00
-1.1950432E-03,6.31742E+00
-1.1950248E-03,6.31742E+00
-1.1950064E-03,6.29789E+00
-1.1949880E-03,6.29789E+00
-1.1949696E-03,6.35648E+00
-1.1949512E-03,6.27836E+00
-1.1949328E-03,6.31742E+00
-1.1949144E-03,6.31742E+00
-1.1948960E-03,6.31742E+00
-1.1948776E-03,6.29789E+00
-1.1948592E-03,6.37602E+00
-1.1948408E-03,6.31742E+00
-1.1948224E-03,6.29789E+00
-1.1948040E-03,6.29789E+00
-1.1947856E-03,6.33695E+00
-1.1947672E-03,6.33695E+00
-1.1947488E-03,6.33695E+00
-1.1947304E-03,6.31742E+00
-1.1947120E-03,6.31742E+00
-1.1946936E-03,6.29789E+00
-1.1946752E-03,6.31742E+00
-1.1946568E-03,6.31742E+00
-1.1946384E-03,6.33695E+00
-1.1946200E-03,6.31742E+00
-1.1946016E-03,6.29789E+00
-1.1945832E-03,6.33695E+00
-1.1945648E-03,6.33695E+00
-1.1945464E-03,6.29789E+00
-1.1945280E-03,6.35648E+00
-1.1945096E-03,6.33695E+00
-1.1944912E-03,6.35648E+00
-1.1944728E-03,6.29789E+00
-1.1944544E-03,6.31742E+00
-1.1944360E-03,6.33695E+00
-1.1944176E-03,6.33695E+00
-1.1943992E-03,6.33695E+00
-1.1943808E-03,6.33695E+00
-1.1943624E-03,6.27836E+00
-1.1943440E-03,6.31742E+00
-1.1943256E-03,6.35648E+00
-1.1943072E-03,6.33695E+00
-1.1942888E-03,6.31742E+00
-1.1942704E-03,6.31742E+00
-1.1942520E-03,6.31742E+00
-1.1942336E-03,6.33695E+00
-1.1942152E-03,6.31742E+00
-1.1941968E-03,6.33695E+00
-1.1941784E-03,6.29789E+00
-1.1941600E-03,6.25883E+00
-1.1941416E-03,6.31742E+00
-1.1941232E-03,6.37602E+00
-1.1941048E-03,6.33695E+00
-1.1940864E-03,6.37602E+00
-1.1940680E-03,6.29789E+00
-1.1940496E-03,6.33695E+00
-1.1940312E-03,6.35648E+00
-1.1940128E-03,6.33695E+00
-1.1939944E-03,6.31742E+00
-1.1939760E-03,6.37602E+00
-1.1939576E-03,6.27836E+00
-1.1939392E-03,6.33695E+00
-1.1939208E-03,6.25883E+00
-1.1939024E-03,6.33695E+00
-1.1938840E-03,6.29789E+00
-1.1938656E-03,6.33695E+00
-1.1938472E-03,6.33695E+00
-1.1938288E-03,6.31742E+00
-1.1938104E-03,6.29789E+00
-1.1937920E-03,6.29789E+00
-1.1937736E-03,6.29789E+00
-1.1937552E-03,6.31742E+00
-1.1937368E-03,6.39555E+00
-1.1937184E-03,6.29789E+00
-1.1937000E-03,6.29789E+00
-1.1936816E-03,6.31742E+00
-1.1936632E-03,6.35648E+00
-1.1936448E-03,6.29789E+00
-1.1936264E-03,6.33695E+00
-1.1936080E-03,6.29789E+00
-1.1935896E-03,6.31742E+00
-1.1935712E-03,6.33695E+00
-1.1935528E-03,6.29789E+00
-1.1935344E-03,6.31742E+00
-1.1935160E-03,6.23930E+00
-1.1934976E-03,6.25883E+00
-1.1934792E-03,6.33695E+00
-1.1934608E-03,6.33695E+00
-1.1934424E-03,6.31742E+00
-1.1934240E-03,6.31742E+00
-1.1934056E-03,6.31742E+00
-1.1933872E-03,6.33695E+00
-1.1933688E-03,6.27836E+00
-1.1933504E-03,6.31742E+00
-1.1933320E-03,6.33695E+00
-1.1933136E-03,6.29789E+00
-1.1932952E-03,6.33695E+00
-1.1932768E-03,6.33695E+00
-1.1932584E-03,6.33695E+00
-1.1932400E-03,6.33695E+00
-1.1932216E-03,6.33695E+00
-1.1932032E-03,6.33695E+00
-1.1931848E-03,6.33695E+00
