in s,C2 in V
-2.9319884E-03,6.41508E+00
-2.9319432E-03,6.39555E+00
-2.9318980E-03,6.41508E+00
-2.9318528E-03,6.39555E+00
-2.9318076E-03,6.43461E+00
-2.9317624E-03,6.39555E+00
-2.9317172E-03,6.41508E+00
-2.9316720E-03,6.37602E+00
-2.9316268E-03,6.41508E+00
-2.9315816E-03,6.39555E+00
-2.9315364E-03,6.41508E+00
-2.9314912E-03,6.39555E+00
-2.9314460E-03,6.41508E+00
-2.9314008E-03,6.41508E+00
-2.9313556E-03,6.39555E+00
-2.9313104E-03,6.39555E+00
-2.9312652E-03,6.41508E+00
-2.9312200E-03,6.41508E+00
-2.9311748E-03,6.41508E+00
-2.9311296E-03,6.39555E+00
-2.9310844E-03,6.39555E+00
-2.9310392E-03,6.35648E+00
-2.9309940E-03,6.41508E+00
-2.9309488E-03,6.39555E+00
-2.9309036E-03,6.41508E+00
-2.9308584E-03,6.39555E+00
-2.9308132E-03,6.39555E+00
-2.9307680E-03,6.43461E+00
-2.9307228E-03,6.41508E+00
-2.9306776E-03,6.41508E+00
-2.9306324E-03,6.41508E+00
-2.9305872E-03,6.41508E+00
-2.9305420E-03,6.39555E+00
-2.9304968E-03,6.35648E+00
-2.9304516E-03,6.41508E+00
-2.9304064E-03,6.39555E+00
-2.9303612E-03,6.41508E+00
-2.9303160E-03,6.41508E+00
-2.9302708E-03,6.43461E+00
-2.9302256E-03,6.39555E+00
-2.9301804E-03,6.41508E+00
-2.9301352E-03,6.41508E+00
-2.9300900E-03,6.45414E+00
-2.9300448E-03,6.41508E+00
-2.9299996E-03,6.39555E+00
-2.9299544E-03,6.35648E+00
-2.9299092E-03,6.45414E+00
-2.9298640E-03,6.41508E+00
-2.9298188E-03,6.41508E+00
-2.9297736E-03,6.41508E+00
-2.9297284E-03,6.41508E+00
-2.9296832E-03,6.39555E+00
-2.9296380E-03,6.41508E+00
-2.9295928E-03,6.41508E+00
-2.9295476E-03,6.47367E+00
-2.9295024E-03,6.45414E+00
-2.9294572E-03,6.43461E+00
-2.9294120E-03,6.43461E+00
-2.9293668E-03,6.45414E+00
-2.9293216E-03,6.37602E+00
-2.9292764E-03,6.41508E+00
-2.9292312E-03,6.39555E+00
-2.9291860E-03,6.39555E+00
-2.9291408E-03,6.41508E+00
-2.9290956E-03,6.41508E+00
-2.9290504E-03,6.39555E+00
-2.9290052E-03,6.49320E+00
-2.9289600E-03,6.39555E+00
-2.9289148E-03,6.39555E+00
-2.9288696E-03,6.41508E+00
-2.9288244E-03,6.41508E+00
-2.9287792E-03,6.45414E+00
-2.9287340E-03,6.41508E+00
-2.9286888E-03,6.43461E+00
-2.9286436E-03,6.39555E+00
-2.9285984E-03,6.41508E+00
-2.9285532E-03,6.39555E+00
-2.9285080E-03,6.43461E+00
-2.9284628E-03,6.41508E+00
-2.9284176E-03,6.41508E+00
-2.9283724E-03,6.47367E+00
-2.9283272E-03,6.41508E+00
-2.9282820E-03,6.41508E+00
-2.9282368E-03,6.37602E+00
-2.9281916E-03,6.41508E+00
-2.9281464E-03,6.39555E+00
-2.9281012E-03,6.43461E+00
-2.9280560E-03,6.39555E+00
-2.9280108E-03,6.43461E+00
-2.9279656E-03,6.45414E+00
-2.9279204E-03,6.41508E+00
-2.9278752E-03,6.39555E+00
-2.9278300E-03,6.41508E+00
-2.9277848E-03,6.41508E+00
-2.9277396E-03,6.43461E+00
-2.9276944E-03,6.45414E+00
-2.9276492E-03,6.41508E+00
-2.9276040E-03,6.39555E+00
-2.9275588E-03,6.45414E+00
-2.9275136E-03,6.39555E+00
-2.9274684E-03,6.37602E+00
-2.9274232E-03,6.43461E+00
-2.9273780E-03,6.39555E+00
-2.9273328E-03,6.41508E+00
-2.9272876E-03,6.41508E+00
-2.9272424E-03,6.41508E+00
-2.9271972E-03,6.41508E+00
-2.9271520E-03,6.37602E+00
-2.9271068E-03,6.41508E+00
-2.9270616E-03,6.39555E+00
-2.9270164E-03,6.39555E+00
-2.9269712E-03,6.41508E+00
-2.9269260E-03,6.47367E+00
-2.9268808E-03,6.39555E+00
-2.9268356E-03,6.41508E+00
-2.9267904E-03,6.43461E+00
-2.9267452E-03,6.43461E+00
-2.9267000E-03,6.45414E+00
-2.9266548E-03,6.45414E+00
-2.9266096E-03,6.47367E+00
-2.9265644E-03,6.43461E+00
-2.9265192E-03,6.43461E+00
-2.9264740E-03,6.41508E+00
-2.9264288E-03,6.35648E+00
-2.9263836E-03,6.43461E+00
-2.9263384E-03,6.43461E+00
-2.9262932E-03,6.45414E+00
-2.9262480E-03,6.45414E+00
-2.9262028E-03,6.45414E+00
-2.9261576E-03,6.39555E+00
-2.9261124E-03,6.45414E+00
-2.9260672E-03,6.41508E+00
-2.9260220E-03,6.45414E+00
-2.9259768E-03,6.41508E+00
-2.9259316E-03,6.47367E+00
-2.9258864E-03,6.41508E+00
-2.9258412E-03,6.45414E+00
-2.9257960E-03,6.39555E+00
-2.9257508E-03,6.43461E+00
-2.9257056E-03,6.43461E+00
-2.9256604E-03,6.39555E+00
-2.9256152E-03,6.41508E+00
-2.9255700E-03,6.45414E+00
-2.9255248E-03,6.41508E+00
-2.9254796E-03,6.41508E+00
-2.9254344E-03,6.43461E+00
-2.9253892E-03,6.41508E+00
-2.9253440E-03,6.43461E+00
-2.9252988E-03,6.45414E+00
-2.9252536E-03,6.47367E+00
-2.9252084E-03,6.43461E+00
-2.9251632E-03,6.43461E+00
-2.9251180E-03,6.43461E+00
-2.9250728E-03,6.47367E+00
-2.9250276E-03,6.41508E+00
