in s,C2 in V
-4.8391760E-04,8.83086E-01
-4.8389920E-04,9.12383E-01
-4.8388080E-04,9.12383E-01
-4.8386240E-04,8.73320E-01
-4.8384400E-04,9.02617E-01
-4.8382560E-04,8.92852E-01
-4.8380720E-04,8.04961E-01
-4.8378880E-04,8.92852E-01
-4.8377040E-04,9.22148E-01
-4.8375200E-04,9.12383E-01
-4.8373360E-04,8.92852E-01
-4.8371520E-04,9.02617E-01
-4.8369680E-04,8.92852E-01
-4.8367840E-04,8.63555E-01
-4.8366000E-04,8.44023E-01
-4.8364160E-04,8.44023E-01
-4.8362320E-04,9.70977E-01
-4.8360480E-04,8.04961E-01
-4.8358640E-04,8.04961E-01
-4.8356800E-04,8.34258E-01
-4.8354960E-04,8.14727E-01
-4.8353120E-04,8.24492E-01
-4.8351280E-04,7.95195E-01
-4.8349440E-04,7.95195E-01
-4.8347600E-04,8.04961E-01
-4.8345760E-04,7.65898E-01
-4.8343920E-04,7.46367E-01
-4.8342080E-04,8.63555E-01
-4.8340240E-04,8.53789E-01
-4.8338400E-04,8.34258E-01
-4.8336560E-04,8.44023E-01
-4.8334720E-04,8.04961E-01
-4.8332880E-04,8.04961E-01
-4.8331040E-04,7.95195E-01
-4.8329200E-04,8.04961E-01
-4.8327360E-04,9.02617E-01
-4.8325520E-04,8.34258E-01
-4.8323680E-04,8.14727E-01
-4.8321840E-04,8.34258E-01
-4.8320000E-04,8.04961E-01
-4.8318160E-04,8.53789E-01
-4.8316320E-04,8.83086E-01
-4.8314480E-04,8.34258E-01
-4.8312640E-04,8.24492E-01
-4.8310800E-04,8.34258E-01
-4.8308960E-04,7.95195E-01
-4.8307120E-04,8.63555E-01
-4.8305280E-04,8.63555E-01
-4.8303440E-04,8.44023E-01
-4.8301600E-04,8.44023E-01
-4.8299760E-04,8.44023E-01
-4.8297920E-04,8.24492E-01
-4.8296080E-04,8.04961E-01
-4.8294240E-04,8.14727E-01
-4.8292400E-04,7.95195E-01
-4.8290560E-04,8.24492E-01
-4.8288720E-04,8.34258E-01
-4.8286880E-04,8.53789E-01
-4.8285040E-04,8.53789E-01
-4.8283200E-04,8.34258E-01
-4.8281360E-04,8.44023E-01
-4.8279520E-04,8.44023E-01
-4.8277680E-04,8.63555E-01
-4.8275840E-04,8.24492E-01
-4.8274000E-04,7.95195E-01
-4.8272160E-04,8.53789E-01
-4.8270320E-04,8.83086E-01
-4.8268480E-04,8.63555E-01
-4.8266640E-04,8.73320E-01
-4.8264800E-04,8.92852E-01
-4.8262960E-04,8.63555E-01
-4.8261120E-04,8.83086E-01
-4.8259280E-04,8.44023E-01
-4.8257440E-04,8.73320E-01
-4.8255600E-04,9.02617E-01
-4.8253760E-04,8.44023E-01
-4.8251920E-04,8.63555E-01
-4.8250080E-04,8.44023E-01
-4.8248240E-04,8.24492E-01
-4.8246400E-04,8.44023E-01
-4.8244560E-04,8.73320E-01
-4.8242720E-04,8.63555E-01
-4.8240880E-04,8.63555E-01
-4.8239040E-04,7.56133E-01
-4.8237200E-04,8.44023E-01
-4.8235360E-04,9.12383E-01
-4.8233520E-04,8.63555E-01
-4.8231680E-04,8.83086E-01
-4.8229840E-04,8.63555E-01
-4.8228000E-04,8.92852E-01
-4.8226160E-04,8.83086E-01
-4.8224320E-04,8.73320E-01
-4.8222480E-04,8.73320E-01
-4.8220640E-04,1.01004E+00
-4.8218800E-04,8.73320E-01
-4.8216960E-04,8.34258E-01
-4.8215120E-04,8.63555E-01
-4.8213280E-04,8.73320E-01
-4.8211440E-04,8.73320E-01
-4.8209600E-04,9.02617E-01
-4.8207760E-04,9.12383E-01
-4.8205920E-04,9.22148E-01
-4.8204080E-04,8.63555E-01
-4.8202240E-04,8.34258E-01
-4.8200400E-04,9.22148E-01
-4.8198560E-04,9.22148E-01
-4.8196720E-04,9.12383E-01
-4.8194880E-04,9.02617E-01
-4.8193040E-04,8.92852E-01
-4.8191200E-04,8.63555E-01
-4.8189360E-04,8.73320E-01
-4.8187520E-04,8.44023E-01
-4.8185680E-04,9.02617E-01
-4.8183840E-04,8.44023E-01
-4.8182000E-04,8.04961E-01
-4.8180160E-04,8.53789E-01
-4.8178320E-04,8.44023E-01
-4.8176480E-04,8.53789E-01
-4.8174640E-04,8.44023E-01
-4.8172800E-04,8.34258E-01
-4.8170960E-04,8.53789E-01
-4.8169120E-04,8.44023E-01
-4.8167280E-04,7.95195E-01
-4.8165440E-04,8.34258E-01
-4.8163600E-04,8.53789E-01
-4.8161760E-04,8.24492E-01
-4.8159920E-04,7.95195E-01
-4.8158080E-04,8.04961E-01
-4.8156240E-04,7.95195E-01
-4.8154400E-04,7.95195E-01
-4.8152560E-04,7.56133E-01
-4.8150720E-04,7.75664E-01
-4.8148880E-04,7.75664E-01
-4.8147040E-04,7.56133E-01
-4.8145200E-04,7.75664E-01
-4.8143360E-04,7.56133E-01
-4.8141520E-04,7.75664E-01
-4.8139680E-04,7.85430E-01
-4.8137840E-04,7.36602E-01
-4.8136000E-04,7.56133E-01
-4.8134160E-04,7.56133E-01
-4.8132320E-04,7.07305E-01
-4.8130480E-04,7.65898E-01
-4.8128640E-04,7.95195E-01
-4.8126800E-04,8.04961E-01
-4.8124960E-04,8.24492E-01
-4.8123120E-04,7.95195E-01
-4.8121280E-04,8.04961E-01
-4.8119440E-04,7.85430E-01
-4.8117600E-04,7.95195E-01
-4.8115760E-04,7.95195E-01
-4.8113920E-04,8.24492E-01
-4.8112080E-04,7.65898E-01
-4.8110240E-04,7.75664E-01
-4.8108400E-04,8.24492E-01
-4.8106560E-04,8.24492E-01
-4.8104720E-04,8.04961E-01
-4.8102880E-04,8.24492E-01
-4.8101040E-04,8.24492E-01
-4.8099200E-04,8.14727E-01
-4.8097360E-04,7.75664E-01
-4.8095520E-04,8.44023E-01
-4.8093680E-04,8.83086E-01
-4.8091840E-04,8.83086E-01
-4.8090000E-04,8.83086E-01
-4.8088160E-04,9.02617E-01
-4.8086320E-04,8.73320E-01
-4.8084480E-04,8.63555E-01
-4.8082640E-04,8.63555E-01
-4.8080800E-04,8.44023E-01
-4.8078960E-04,1.00027E+00
-4.8077120E-04,8.34258E-01
-4.8075280E-04,8.24492E-01
-4.8073440E-04,8.24492E-01
-4.8071600E-04,8.44023E-01
-4.8069760E-04,8.44023E-01
-4.8067920E-04,8.83086E-01
-4.8066080E-04,8.83086E-01
-4.8064240E-04,8.53789E-01
-4.8062400E-04,8.14727E-01
-4.8060560E-04,8.53789E-01
-4.8058720E-04,9.02617E-01
-4.8056880E-04,8.34258E-01
-4.8055040E-04,8.34258E-01
-4.8053200E-04,8.44023E-01
-4.8051360E-04,8.53789E-01
-4.8049520E-04,8.24492E-01
-4.8047680E-04,8.24492E-01
-4.8045840E-04,7.75664E-01
-4.8044000E-04,8.83086E-01
-4.8042160E-04,8.04961E-01
-4.8040320E-04,8.14727E-01
-4.8038480E-04,8.14727E-01
-4.8036640E-04,8.04961E-01
-4.8034800E-04,8.34258E-01
-4.8032960E-04,8.44023E-01
-4.8031120E-04,8.53789E-01
-4.8029280E-04,8.34258E-01
-4.8027440E-04,8.53789E-01
-4.8025600E-04,7.65898E-01
-4.8023760E-04,8.63555E-01
-4.8021920E-04,8.92852E-01
-4.8020080E-04,8.73320E-01
-4.8018240E-04,8.63555E-01
-4.8016400E-04,8.73320E-01
-4.8014560E-04,8.34258E-01
-4.8012720E-04,8.63555E-01
-4.8010880E-04,8.34258E-01
-4.8009040E-04,8.83086E-01
-4.8007200E-04,8.53789E-01
-4.8005360E-04,8.63555E-01
-4.8003520E-04,8.73320E-01
-4.8001680E-04,8.73320E-01
-4.7999840E-04,8.92852E-01
-4.7998000E-04,9.12383E-01
-4.7996160E-04,9.12383E-01
-4.7994320E-04,9.12383E-01
-4.7992480E-04,9.22148E-01
-4.7990640E-04,8.73320E-01
-4.7988800E-04,9.31914E-01
-4.7986960E-04,9.61211E-01
-4.7985120E-04,9.61211E-01
-4.7983280E-04,9.61211E-01
-4.7981440E-04,9.51445E-01
-4.7979600E-04,9.31914E-01
-4.7977760E-04,9.12383E-01
-4.7975920E-04,9.51445E-01
-4.7974080E-04,9.41680E-01
-4.7972240E-04,9.70977E-01
-4.7970400E-04,9.41680E-01
-4.7968560E-04,9.12383E-01
-4.7966720E-04,9.51445E-01
-4.7964880E-04,9.12383E-01
-4.7963040E-04,9.22148E-01
-4.7961200E-04,9.12383E-01
-4.7959360E-04,9.41680E-01
-4.7957520E-04,9.22148E-01
-4.7955680E-04,8.53789E-01
-4.7953840E-04,9.12383E-01
-4.7952000E-04,9.31914E-01
-4.7950160E-04,9.22148E-01
-4.7948320E-04,9.41680E-01
-4.7946480E-04,9.51445E-01
-4.7944640E-04,9.22148E-01
-4.7942800E-04,8.63555E-01
-4.7940960E-04,8.83086E-01
-4.7939120E-04,8.92852E-01
-4.7937280E-04,9.90508E-01
-4.7935440E-04,8.04961E-01
-4.7933600E-04,8.24492E-01
-4.7931760E-04,8.24492E-01
-4.7929920E-04,8.24492E-01
-4.7928080E-04,8.14727E-01
-4.7926240E-04,8.34258E-01
-4.7924400E-04,8.34258E-01
-4.7922560E-04,8.24492E-01
-4.7920720E-04,7.95195E-01
-4.7918880E-04,7.95195E-01
-4.7917040E-04,8.53789E-01
-4.7915200E-04,8.24492E-01
-4.7913360E-04,8.34258E-01
-4.7911520E-04,8.44023E-01
-4.7909680E-04,8.34258E-01
-4.7907840E-04,8.14727E-01
-4.7906000E-04,8.24492E-01
-4.7904160E-04,8.44023E-01
-4.7902320E-04,7.95195E-01
-4.7900480E-04,7.95195E-01
-4.7898640E-04,8.14727E-01
-4.7896800E-04,8.24492E-01
-4.7894960E-04,8.53789E-01
-4.7893120E-04,8.53789E-01
-4.7891280E-04,8.53789E-01
-4.7889440E-04,8.34258E-01
-4.7887600E-04,8.34258E-01
-4.7885760E-04,8.63555E-01
-4.7883920E-04,7.65898E-01
-4.7882080E-04,8.24492E-01
-4.7880240E-04,8.63555E-01
-4.7878400E-04,8.44023E-01
-4.7876560E-04,8.53789E-01
-4.7874720E-04,8.53789E-01
-4.7872880E-04,8.04961E-01
-4.7871040E-04,8.24492E-01
-4.7869200E-04,7.95195E-01
-4.7867360E-04,9.61211E-01
-4.7865520E-04,8.63555E-01
-4.7863680E-04,7.46367E-01
-4.7861840E-04,7.95195E-01
-4.7860000E-04,8.14727E-01
-4.7858160E-04,7.75664E-01
-4.7856320E-04,8.04961E-01
-4.7854480E-04,8.34258E-01
-4.7852640E-04,8.14727E-01
-4.7850800E-04,8.34258E-01
-4.7848960E-04,7.75664E-01
-4.7847120E-04,8.63555E-01
-4.7845280E-04,8.73320E-01
-4.7843440E-04,9.12383E-01
-4.7841600E-04,8.73320E-01
-4.7839760E-04,8.53789E-01
-4.7837920E-04,8.63555E-01
-4.7836080E-04,8.73320E-01
-4.7834240E-04,8.44023E-01
-4.7832400E-04,8.34258E-01
-4.7830560E-04,8.63555E-01
-4.7828720E-04,8.14727E-01
-4.7826880E-04,8.14727E-01
-4.7825040E-04,8.34258E-01
-4.7823200E-04,8.24492E-01
-4.7821360E-04,8.14727E-01
-4.7819520E-04,8.53789E-01
-4.7817680E-04,8.14727E-01
-4.7815840E-04,8.63555E-01
-4.7814000E-04,7.26836E-01
-4.7812160E-04,8.14727E-01
-4.7810320E-04,8.34258E-01
-4.7808480E-04,8.34258E-01
-4.7806640E-04,8.44023E-01
