in s,C2 in V
-5.9842080E-02,-4.95023E+00
-5.9841152E-02,-4.91117E+00
-5.9840224E-02,-4.87211E+00
-5.9839296E-02,-4.89164E+00
-5.9838368E-02,-4.89164E+00
-5.9837440E-02,-4.89164E+00
-5.9836512E-02,-4.91117E+00
-5.9835584E-02,-4.95023E+00
-5.9834656E-02,-4.95023E+00
-5.9833728E-02,-4.91117E+00
-5.9832800E-02,-4.83305E+00
-5.9831872E-02,-4.91117E+00
-5.9830944E-02,-4.85258E+00
-5.9830016E-02,-4.89164E+00
-5.9829088E-02,-4.91117E+00
-5.9828160E-02,-4.87211E+00
-5.9827232E-02,-4.93070E+00
-5.9826304E-02,-4.96977E+00
-5.9825376E-02,-4.95023E+00
-5.9824448E-02,-4.89164E+00
-5.9823520E-02,-4.93070E+00
-5.9822592E-02,-4.91117E+00
-5.9821664E-02,-4.85258E+00
-5.9820736E-02,-4.91117E+00
-5.9819808E-02,-4.91117E+00
-5.9818880E-02,-4.91117E+00
-5.9817952E-02,-4.87211E+00
-5.9817024E-02,-4.89164E+00
-5.9816096E-02,-4.89164E+00
-5.9815168E-02,-4.89164E+00
-5.9814240E-02,-4.89164E+00
-5.9813312E-02,-4.89164E+00
-5.9812384E-02,-4.83305E+00
-5.9811456E-02,-4.93070E+00
-5.9810528E-02,-4.91117E+00
-5.9809600E-02,-4.93070E+00
-5.9808672E-02,-4.91117E+00
-5.9807744E-02,-4.89164E+00
-5.9806816E-02,-4.93070E+00
-5.9805888E-02,-4.87211E+00
-5.9804960E-02,-4.89164E+00
-5.9804032E-02,-4.89164E+00
-5.9803104E-02,-4.89164E+00
-5.9802176E-02,-4.91117E+00
-5.9801248E-02,-4.85258E+00
-5.9800320E-02,-4.87211E+00
-5.9799392E-02,-4.89164E+00
-5.9798464E-02,-4.89164E+00
-5.9797536E-02,-4.87211E+00
-5.9796608E-02,-4.91117E+00
-5.9795680E-02,-4.89164E+00
-5.9794752E-02,-4.95023E+00
-5.9793824E-02,-4.89164E+00
-5.9792896E-02,-4.93070E+00
-5.9791968E-02,-4.91117E+00
-5.9791040E-02,-4.91117E+00
-5.9790112E-02,-4.91117E+00
-5.9789184E-02,-4.91117E+00
-5.9788256E-02,-4.83305E+00
-5.9787328E-02,-4.91117E+00
-5.9786400E-02,-4.91117E+00
-5.9785472E-02,-4.87211E+00
-5.9784544E-02,-4.87211E+00
-5.9783616E-02,-4.95023E+00
-5.9782688E-02,-4.85258E+00
-5.9781760E-02,-4.85258E+00
-5.9780832E-02,-4.91117E+00
-5.9779904E-02,-4.89164E+00
-5.9778976E-02,-4.87211E+00
-5.9778048E-02,-4.87211E+00
-5.9777120E-02,-4.91117E+00
-5.9776192E-02,-4.85258E+00
-5.9775264E-02,-4.87211E+00
-5.9774336E-02,-4.83305E+00
-5.9773408E-02,-4.91117E+00
-5.9772480E-02,-4.85258E+00
-5.9771552E-02,-4.87211E+00
-5.9770624E-02,-4.87211E+00
-5.9769696E-02,-4.91117E+00
-5.9768768E-02,-4.91117E+00
-5.9767840E-02,-4.91117E+00
