in s,C1 in V
-1.8549152E-03,4.82676E-02
-1.8548864E-03,4.72910E-02
-1.8548576E-03,4.72910E-02
-1.8548288E-03,4.72910E-02
-1.8548000E-03,4.87559E-02
-1.8547712E-03,4.82676E-02
-1.8547424E-03,4.77793E-02
-1.8547136E-03,4.82676E-02
-1.8546848E-03,4.82676E-02
-1.8546560E-03,4.58262E-02
-1.8546272E-03,4.77793E-02
-1.8545984E-03,4.68027E-02
-1.8545696E-03,4.68027E-02
-1.8545408E-03,4.63145E-02
-1.8545120E-03,4.72910E-02
-1.8544832E-03,4.87559E-02
-1.8544544E-03,4.63145E-02
-1.8544256E-03,4.72910E-02
-1.8543968E-03,4.82676E-02
-1.8543680E-03,4.87559E-02
-1.8543392E-03,4.72910E-02
-1.8543104E-03,4.82676E-02
-1.8542816E-03,4.92441E-02
-1.8542528E-03,4.58262E-02
-1.8542240E-03,4.77793E-02
-1.8541952E-03,4.77793E-02
-1.8541664E-03,4.82676E-02
-1.8541376E-03,4.72910E-02
-1.8541088E-03,4.63145E-02
-1.8540800E-03,4.77793E-02
-1.8540512E-03,4.72910E-02
-1.8540224E-03,4.77793E-02
-1.8539936E-03,4.77793E-02
-1.8539648E-03,4.68027E-02
-1.8539360E-03,4.82676E-02
-1.8539072E-03,4.77793E-02
-1.8538784E-03,4.82676E-02
-1.8538496E-03,4.77793E-02
-1.8538208E-03,4.87559E-02
-1.8537920E-03,4.77793E-02
-1.8537632E-03,4.72910E-02
-1.8537344E-03,4.92441E-02
-1.8537056E-03,4.77793E-02
-1.8536768E-03,4.82676E-02
-1.8536480E-03,4.87559E-02
-1.8536192E-03,4.72910E-02
-1.8535904E-03,4.72910E-02
-1.8535616E-03,4.77793E-02
-1.8535328E-03,4.72910E-02
-1.8535040E-03,4.77793E-02
-1.8534752E-03,4.63145E-02
-1.8534464E-03,4.87559E-02
-1.8534176E-03,4.72910E-02
-1.8533888E-03,4.77793E-02
-1.8533600E-03,4.77793E-02
-1.8533312E-03,4.77793E-02
-1.8533024E-03,4.82676E-02
-1.8532736E-03,4.82676E-02
-1.8532448E-03,4.72910E-02
-1.8532160E-03,4.82676E-02
-1.8531872E-03,4.77793E-02
-1.8531584E-03,4.77793E-02
-1.8531296E-03,4.68027E-02
-1.8531008E-03,4.82676E-02
-1.8530720E-03,4.82676E-02
